physid,round,contribution,average_others,bonus,group_id_in_round,group_individual_share,belief,group_total_cont,loss0_gain1,total_payoff,gender,age,riskpos,riskneg,ua_pos,ua_neg,reci,session,la
202,1,15,16,0,2,12,0,25,0,-489,1,33,4,3,2,1,55,1,4
202,2,10,16,2,3,10,3,21,0,-489,1,33,4,3,2,1,55,1,4
202,3,20,17,1,1,13,5,27,0,-489,1,33,4,3,2,1,55,1,4
202,4,0,15,0,2,7,1,15,0,-489,1,33,4,3,2,1,55,1,4
202,5,5,14,0,3,11,3,23,0,-489,1,33,4,3,2,1,55,1,4
202,6,15,15,3,2,15,5,30,0,-489,1,33,4,3,2,1,55,1,4
202,7,15,18,0,3,10,5,20,0,-489,1,33,4,3,2,1,55,1,4
202,8,0,19,1,1,1,3,2,0,-489,1,33,4,3,2,1,55,1,4
202,9,0,17,1,2,4,1,8,0,-489,1,33,4,3,2,1,55,1,4
202,10,5,19,1,1,3,3,7,0,-489,1,33,4,3,2,1,55,1,4
202,11,5,16,2,3,8,3,17,0,-489,1,33,4,3,2,1,55,1,4
202,12,10,13,0,3,15,4,30,0,-489,1,33,4,3,2,1,55,1,4
202,13,10,13,1,1,15,5,30,0,-489,1,33,4,3,2,1,55,1,4
202,14,20,9,0,1,26,5,53,0,-489,1,33,4,3,2,1,55,1,4
202,15,20,11,2,2,23,10,46,0,-489,1,33,4,3,2,1,55,1,4
202,16,20,9,0,3,26,8,52,0,-489,1,33,4,3,2,1,55,1,4
202,17,20,13,0,2,19,10,39,0,-489,1,33,4,3,2,1,55,1,4
202,18,20,11,2,3,22,10,45,0,-489,1,33,4,3,2,1,55,1,4
202,19,20,15,0,3,17,10,35,0,-489,1,33,4,3,2,1,55,1,4
202,20,0,12,0,3,11,5,22,0,-489,1,33,4,3,2,1,55,1,4
202,21,20,11,0,1,22,6,45,0,-489,1,33,4,3,2,1,55,1,4
202,22,15,17,0,2,11,7,22,0,-489,1,33,4,3,2,1,55,1,4
202,23,20,13,3,1,19,7,39,0,-489,1,33,4,3,2,1,55,1,4
202,24,20,12,1,3,21,10,42,0,-489,1,33,4,3,2,1,55,1,4
202,25,20,13,0,1,20,11,40,0,-489,1,33,4,3,2,1,55,1,4
202,26,20,16,0,3,15,10,30,0,-489,1,33,4,3,2,1,55,1,4
202,27,20,14,2,1,18,5,37,0,-489,1,33,4,3,2,1,55,1,4
423,1,0,11,0,3,12,0,25,0,-309,0,25,3,5,5,1,48,1,
423,2,0,10,0,1,15,4,30,0,-309,0,25,3,5,5,1,48,1,
423,3,0,13,3,2,10,7,20,0,-309,0,25,3,5,5,1,48,1,
423,4,0,13,3,3,10,7,20,0,-309,0,25,3,5,5,1,48,1,
423,5,20,16,0,1,15,7,30,0,-309,0,25,3,5,5,1,48,1,
423,6,0,10,0,2,15,7,30,0,-309,0,25,3,5,5,1,48,1,
423,7,0,17,0,1,4,7,9,0,-309,0,25,3,5,5,1,48,1,
423,8,0,19,0,1,1,4,2,0,-309,0,25,3,5,5,1,48,1,
423,9,0,14,1,3,8,4,17,0,-309,0,25,3,5,5,1,48,1,
423,10,0,17,2,1,3,4,7,0,-309,0,25,3,5,5,1,48,1,
423,11,0,19,1,1,1,3,2,0,-309,0,25,3,5,5,1,48,1,
423,12,0,10,0,3,15,2,30,0,-309,0,25,3,5,5,1,48,1,
423,13,0,14,0,3,8,3,17,0,-309,0,25,3,5,5,1,48,1,
423,14,0,20,0,3,0,3,0,0,-309,0,25,3,5,5,1,48,1,
423,15,0,19,2,1,1,2,2,0,-309,0,25,3,5,5,1,48,1,
423,16,0,16,1,1,6,2,12,0,-309,0,25,3,5,5,1,48,1,
423,17,0,15,0,1,7,2,14,0,-309,0,25,3,5,5,1,48,1,
423,18,0,18,3,1,2,2,4,0,-309,0,25,3,5,5,1,48,1,
423,19,0,13,0,2,10,2,20,0,-309,0,25,3,5,5,1,48,1,
423,20,0,10,0,1,15,2,30,0,-309,0,25,3,5,5,1,48,1,
423,21,0,16,1,3,5,2,10,0,-309,0,25,3,5,5,1,48,1,
423,22,0,16,1,3,5,2,10,0,-309,0,25,3,5,5,1,48,1,
423,23,0,13,0,2,10,2,20,0,-309,0,25,3,5,5,1,48,1,
423,24,0,6,0,2,20,2,40,0,-309,0,25,3,5,5,1,48,1,
423,25,0,7,0,3,19,2,39,0,-309,0,25,3,5,5,1,48,1,
423,26,0,14,1,1,8,4,17,0,-309,0,25,3,5,5,1,48,1,
423,27,0,15,1,2,6,3,13,0,-309,0,25,3,5,5,1,48,1,
432,1,0,11,0,3,12,0,25,0,-249,1,22,4,1,2,1,55,1,3
432,2,0,12,0,2,11,5,23,0,-249,1,22,4,1,2,1,55,1,3
432,3,0,11,0,1,13,0,27,0,-249,1,22,4,1,2,1,55,1,3
432,4,0,14,0,1,8,2,17,0,-249,1,22,4,1,2,1,55,1,3
432,5,0,12,0,3,11,1,23,0,-249,1,22,4,1,2,1,55,1,3
432,6,0,18,3,3,3,2,6,0,-249,1,22,4,1,2,1,55,1,3
432,7,0,13,0,3,10,1,20,0,-249,1,22,4,1,2,1,55,1,3
432,8,0,15,1,2,7,3,15,0,-249,1,22,4,1,2,1,55,1,3
432,9,0,17,2,2,4,2,8,0,-249,1,22,4,1,2,1,55,1,3
432,10,0,16,1,2,6,2,12,0,-249,1,22,4,1,2,1,55,1,3
432,11,2,20,1,1,1,2,2,0,-249,1,22,4,1,2,1,55,1,3
432,12,0,10,0,3,15,1,30,0,-249,1,22,4,1,2,1,55,1,3
432,13,0,14,0,3,8,3,17,0,-249,1,22,4,1,2,1,55,1,3
432,14,0,20,2,3,0,1,0,0,-249,1,22,4,1,2,1,55,1,3
432,15,0,19,3,1,1,1,2,0,-249,1,22,4,1,2,1,55,1,3
432,16,0,2,0,3,26,2,52,0,-249,1,22,4,1,2,1,55,1,3
432,17,0,12,0,3,11,1,22,0,-249,1,22,4,1,2,1,55,1,3
432,18,0,18,2,1,2,3,4,0,-249,1,22,4,1,2,1,55,1,3
432,19,0,13,0,2,10,3,20,0,-249,1,22,4,1,2,1,55,1,3
432,20,0,10,0,1,15,4,30,0,-249,1,22,4,1,2,1,55,1,3
432,21,0,16,1,3,5,2,10,0,-249,1,22,4,1,2,1,55,1,3
432,22,0,4,0,1,24,2,48,0,-249,1,22,4,1,2,1,55,1,3
432,23,0,13,0,2,10,2,20,0,-249,1,22,4,1,2,1,55,1,3
432,24,0,6,0,2,20,0,40,0,-249,1,22,4,1,2,1,55,1,3
432,25,0,6,0,1,20,2,40,0,-249,1,22,4,1,2,1,55,1,3
432,26,0,10,0,3,15,2,30,0,-249,1,22,4,1,2,1,55,1,3
432,27,0,15,3,2,6,5,13,0,-249,1,22,4,1,2,1,55,1,3
619,1,0,11,0,2,12,0,25,0,-351,1,22,10,10,4,4,36,1,5
619,2,0,13,1,3,10,5,21,0,-351,1,22,10,10,4,4,36,1,5
619,3,5,15,3,2,10,5,20,0,-351,1,22,10,10,4,4,36,1,5
619,4,5,16,2,1,8,5,17,0,-351,1,22,10,10,4,4,36,1,5
619,5,5,20,0,2,2,5,5,0,-351,1,22,10,10,4,4,36,1,5
619,6,2,18,3,3,3,2,6,0,-351,1,22,10,10,4,4,36,1,5
619,7,2,15,0,2,8,2,17,0,-351,1,22,10,10,4,4,36,1,5
619,8,2,20,1,1,1,2,2,0,-351,1,22,10,10,4,4,36,1,5
619,9,2,15,0,3,8,2,17,0,-351,1,22,10,10,4,4,36,1,5
619,10,2,18,3,1,3,2,7,0,-351,1,22,10,10,4,4,36,1,5
619,11,2,11,0,2,13,2,27,0,-351,1,22,10,10,4,4,36,1,5
619,12,2,16,1,1,6,2,12,0,-351,1,22,10,10,4,4,36,1,5
619,13,2,15,0,3,8,2,17,0,-351,1,22,10,10,4,4,36,1,5
619,14,2,3,0,1,26,2,53,0,-351,1,22,10,10,4,4,36,1,5
619,15,2,20,0,1,1,5,2,0,-351,1,22,10,10,4,4,36,1,5
619,16,2,16,2,1,6,5,12,0,-351,1,22,10,10,4,4,36,1,5
619,17,2,13,1,3,11,5,22,0,-351,1,22,10,10,4,4,36,1,5
619,18,2,19,0,1,2,5,4,0,-351,1,22,10,10,4,4,36,1,5
619,19,2,17,2,1,5,2,11,0,-351,1,22,10,10,4,4,36,1,5
619,20,2,18,0,2,3,5,6,0,-351,1,22,10,10,4,4,36,1,5
619,21,2,17,2,3,5,2,10,0,-351,1,22,10,10,4,4,36,1,5
619,22,2,13,1,2,11,5,22,0,-351,1,22,10,10,4,4,36,1,5
619,23,2,7,0,1,19,2,39,0,-351,1,22,10,10,4,4,36,1,5
619,24,2,6,0,3,21,5,42,0,-351,1,22,10,10,4,4,36,1,5
619,25,5,18,0,2,5,5,10,0,-351,1,22,10,10,4,4,36,1,5
619,26,5,16,2,1,8,5,17,0,-351,1,22,10,10,4,4,36,1,5
